Gender,Income,HS_percent,HS_Stream,PCM_markp,Entrance_mark,Quota,Dist,s2c1i,s2c1a,s2c1
M,80000,86,state,98,116,MRT,THRISSUR,32,92,B
M,60000,73,cbsc,95,196,MRT,THRISSUR,38,85,B
M,70000,85,state,60,63,MRT,THRISSUR,22,91,C
M,24000,66,state,81,6,MRT,THRISSUR,12,100,F
F,150000,95,state,65,121,MRT,THRISSUR,46,99,A
F,36000,65,state,79,60,MGT,THRISSUR,11,75,F
F,42000,83,state,54,81,MGT,THRISSUR,38,99,C
M,205000,83,state,97,148,MRT,PALAKKAD,33,93,B
M,25000,74,state,52,109,NRI,THRISSUR,39,79,F
M,108000,65,cbsc,80,60,MGT,PALAKKAD,29,93,B
F,24000,89,state,75,79,MRT,THRISSUR,34,95,B+
F,500000,52,cbsc,69,109,NRI,KOTTAYAM,14,75,F
M,60000,86,state,58,81,MRT,THRISSUR,28,94,B
F,42000,94,state,90,106,MGT,THRISSUR,39,94,A
M,250000,65,cbsc,46,122,MGT,THRISSUR,39,82,B+
M,86000,62,state,84,109,NRI,THRISSUR,15,75,F
F,525000,91,cbsc,93,193,MRT,THRISSUR,45,85,O
F,200000,77,state,62,33,MRT,THRISSUR,11,100,F
F,42000,85,state,55,77,MRT,THRISSUR,33,98,B
M,42000,71,cbsc,91,64,MRT,THRISSUR,40,82,B+
M,600000,68,cbsc,67,116,MGT,THRISSUR,39,95,B+
F,120000,88,state,80,58,MGT,THRISSUR,31,93,B
M,300000,72,state,62,52,MGT,THRISSUR,17,100,F
M,100000,76,state,64,109,NRI,KOZHIKODE,12,100,F
F,210000,77,cbsc,86,256,MGT,THRISSUR,42,76,B
M,504000,70,cbsc,62,86,MGT,THRISSUR,20,82,C
F,120000,89,cbsc,74,162,MRT,THRISSUR,45,87,O
F,151000,88,state,75,49,MRT,THRISSUR,32,92,B+
F,300000,94,state,68,172,MRT,THRISSUR,46,95,O
M,140000,89,state,86,50,MRT,THRISSUR,33,86,B
M,1080000,65,cbsc,85,47,MRT,THRISSUR,18,71,F
M,1300000,78,state,93,87,MRT,THRISSUR,26,94,F
M,200000,80,state,87,51,MGT,THRISSUR,25,89,F
M,96000,81,state,57,68,MRT,THRISSUR,40,92,B+
M,96000,88,state,74,68,MRT,THRISSUR,24,93,B
F,40000,88,state,77,70,MGT,MALAPPURAM,33,91,B
F,80000,84,state,85,33,MGT,THRISSUR,28,91,F
M,36000,91,state,86,184,MRT,THRISSUR,40,93,B
F,54000,91,state,86,118,MRT,THRISSUR,40,100,B+
F,562000,76,cbsc,80,162,MRT,THRISSUR,42,89,C
M,42000,81,state,92,44,MGT,THRISSUR,23,81,C
F,1000000,88,cbsc,89,196,MRT,THRISSUR,46,87,O
F,200000,73,cbsc,68,109,NRI,THRISSUR,36,87,B
F,30000,73,state,76,47,MRT,THRISSUR,16,93,F
F,120000,63,icse,85,48,MGT,THRISSUR,22,94,F
M,700000,72,state,62,101,MGT,THRISSUR,11,100,F
F,150000,89,state,68,109,NRI,THRISSUR,37,92,B+
F,48000,89,state,56,82,MRT,THRISSUR,33,100,B+
M,7200,76,state,70,30,MRT,THRISSUR,18,87,F
M,96000,95,state,83,209,MRT,THRISSUR,41,92,O
M,541140,74,cbsc,89,54,MRT,THRISSUR,33,95,B+
M,400000,81,state,70,109,NRI,THRISSUR,30,85,C
M,52000,69,cbsc,96,45,MGT,THRISSUR,41,92,A+
F,12000,82,state,64,93,MGT,THRISSUR,31,91,B
