Gender,Income,HS_percent,HS_Stream,PCM_markp,Entrance_mark,Quota,Dist,s2c6i,s2c6a,s2c6
M,30000,66,state,91,68,MRT,THRISSUR,23,92,F
F,300000,68,cbsc,57,47,MGT,KOZHIKODE,25,94,C
M,241500,83,state,80,47,MGT,THRISSUR,23,86,C
M,450000,59,cbsc,66,34,MRT,THRISSUR,23,65,P
F,241300,90,state,63,62,MRT,THRISSUR,35,92,B
F,1400000,82,state,79,78,MGT,ALAPPUZHA,31,98,B
M,159000,91,state,54,216,MRT,THRISSUR,32,84,B+
F,300000,95,state,88,209,MRT,THRISSUR,33,90,B
M,313716,76,cbsc,74,44,MRT,THRISSUR,27,92,C
F,78000,92,state,93,89,MRT,THRISSUR,39,94,B+
F,175000,83,cbsc,95,133,MGT,THRISSUR,32,88,B
F,60000,69,state,67,109,NRI,THRISSUR,23,98,C
F,48000,75,state,89,109,MGT,THRISSUR,25,96,F
M,180000,68,state,77,326,MGT,THRISSUR,28,90,C
F,24000,83,state,62,41,MRT,THRISSUR,26,84,B
M,800000,86,cbsc,68,388,MRT,THRISSUR,32,92,B
F,27000,84,state,63,203,MRT,THRISSUR,37,86,B+
F,400000,94,state,80,101,MRT,THRISSUR,39,98,A+
F,300000,71,cbsc,85,85,MGT,THRISSUR,25,92,B
F,240000,83,cbsc,78,80,MGT,PALAKKAD,39,96,A+
M,480000,86,state,94,195,MRT,THRISSUR,30,100,B
F,120000,75,state,64,50,MRT,THRISSUR,25,98,B
F,550000,91,cbsc,78,274,MRT,THRISSUR,38,92,B+
F,1000000,91,state,84,106,MRT,THRISSUR,31,98,B
F,1200000,63,state,65,109,NRI,THRISSUR,23,100,C
F,96000,98,state,91,157,MGT,THRISSUR,40,97,A
F,36000,91,state,88,102,MRT,THRISSUR,35,97,B
M,515568,67,cbsc,55,140,MRT,THRISSUR,38,89,B+
M,80000,86,state,98,116,MRT,THRISSUR,39,95,B+
M,60000,73,cbsc,95,196,MRT,THRISSUR,36,94,B
M,70000,85,state,60,63,MRT,THRISSUR,41,98,B+
M,24000,66,state,81,6,MRT,THRISSUR,26,82,F
F,150000,95,state,65,121,MRT,THRISSUR,41,95,A
F,36000,65,state,79,60,MGT,THRISSUR,35,89,C
F,42000,83,state,54,81,MGT,THRISSUR,39,97,B
M,205000,83,state,97,148,MRT,PALAKKAD,35,97,B+
M,25000,74,state,52,109,NRI,THRISSUR,31,85,B
M,108000,65,cbsc,80,60,MGT,PALAKKAD,38,97,B+
F,24000,89,state,75,79,MRT,THRISSUR,41,100,B
F,500000,52,cbsc,69,109,NRI,KOTTAYAM,24,89,F
M,60000,86,state,58,81,MRT,THRISSUR,41,95,B+
F,42000,94,state,90,106,MGT,THRISSUR,41,100,B+
M,250000,65,cbsc,46,122,MGT,THRISSUR,33,82,C
M,86000,62,state,84,109,NRI,THRISSUR,22,77,F
F,525000,91,cbsc,93,193,MRT,THRISSUR,41,97,B
F,200000,77,state,62,33,MRT,THRISSUR,29,85,F
F,42000,85,state,55,77,MRT,THRISSUR,32,98,C
M,42000,71,cbsc,91,64,MRT,THRISSUR,32,90,B
M,600000,68,cbsc,67,116,MGT,THRISSUR,34,92,C
F,120000,88,state,80,58,MGT,THRISSUR,42,97,B+
M,300000,72,state,62,52,MGT,THRISSUR,21,80,F
M,100000,76,state,64,109,NRI,KOZHIKODE,23,89,F
F,210000,77,cbsc,86,256,MGT,THRISSUR,32,92,C
M,504000,70,cbsc,62,86,MGT,THRISSUR,26,90,C
F,120000,89,cbsc,74,162,MRT,THRISSUR,46,97,B+
F,151000,88,state,75,49,MRT,THRISSUR,39,92,F
F,300000,94,state,68,172,MRT,THRISSUR,45,95,A
M,140000,89,state,86,50,MRT,THRISSUR,35,92,B
M,1080000,65,cbsc,85,47,MRT,THRISSUR,32,89,C
M,1300000,78,state,93,87,MRT,THRISSUR,36,97,F
M,200000,80,state,87,51,MGT,THRISSUR,35,94,F
M,96000,81,state,57,68,MRT,THRISSUR,30,92,B
M,96000,88,state,74,68,MRT,THRISSUR,27,97,C
F,40000,88,state,77,70,MGT,MALAPPURAM,34,94,C
F,80000,84,state,85,33,MGT,THRISSUR,37,98,B
M,36000,91,state,86,184,MRT,THRISSUR,34,94,C
F,54000,91,state,86,118,MRT,THRISSUR,40,100,B
F,562000,76,cbsc,80,162,MRT,THRISSUR,36,95,B
M,42000,81,state,92,44,MGT,THRISSUR,27,90,C
F,1000000,88,cbsc,89,196,MRT,THRISSUR,40,90,B
F,200000,73,cbsc,68,109,NRI,THRISSUR,36,90,F
F,30000,73,state,76,47,MRT,THRISSUR,23,100,F
F,120000,63,icse,85,48,MGT,THRISSUR,32,90,F
M,700000,72,state,62,101,MGT,THRISSUR,16,94,F
F,150000,89,state,68,109,NRI,THRISSUR,39,98,B+
F,48000,89,state,56,82,MRT,THRISSUR,35,97,C
M,7200,76,state,70,30,MRT,THRISSUR,28,97,F
M,96000,95,state,83,209,MRT,THRISSUR,41,92,A
M,541140,74,cbsc,89,54,MRT,THRISSUR,44,98,A
M,400000,81,state,70,109,NRI,THRISSUR,34,92,C
M,52000,69,cbsc,96,45,MGT,THRISSUR,38,94,B+
F,12000,82,state,64,93,MGT,THRISSUR,37,95,B
