Gender,Income,HS_percent,HS_Stream,PCM_markp,Entrance_mark,Quota,Dist,s2c4i,s2c4a,s2c4
F,500000,52,cbsc,69,109,NRI,KOTTAYAM,36,75,F
M,60000,86,state,58,81,MRT,THRISSUR,42,94,A
F,42000,94,state,90,106,MGT,THRISSUR,45,94,B+
M,250000,65,cbsc,46,122,MGT,THRISSUR,23,82,B
M,86000,62,state,84,109,NRI,THRISSUR,36,75,B
F,525000,91,cbsc,93,193,MRT,THRISSUR,46,85,B+
F,200000,77,state,62,33,MRT,THRISSUR,28,100,C
F,42000,85,state,55,77,MRT,THRISSUR,32,98,B
M,42000,71,cbsc,91,64,MRT,THRISSUR,43,82,B+
M,600000,68,cbsc,67,116,MGT,THRISSUR,35,95,C
F,120000,88,state,80,58,MGT,THRISSUR,46,93,B+
M,300000,72,state,62,52,MGT,THRISSUR,41,100,B
M,100000,76,state,64,109,NRI,KOZHIKODE,37,100,B
F,210000,77,cbsc,86,256,MGT,THRISSUR,53,86,C
M,504000,70,cbsc,62,86,MGT,THRISSUR,35,82,B+
F,120000,89,cbsc,74,162,MRT,THRISSUR,49,87,A
F,151000,88,state,75,49,MRT,THRISSUR,37,92,B
F,300000,94,state,68,172,MRT,THRISSUR,47,95,A+
M,140000,89,state,86,50,MRT,THRISSUR,45,86,B+
M,1080000,65,cbsc,85,47,MRT,THRISSUR,33,71,B
M,1300000,78,state,93,87,MRT,THRISSUR,35,94,B
M,200000,80,state,87,51,MGT,THRISSUR,30,89,B
M,96000,81,state,57,68,MRT,THRISSUR,36,92,F
M,96000,88,state,74,68,MRT,THRISSUR,37,93,A
F,40000,88,state,77,70,MGT,MALAPPURAM,47,91,B+
F,80000,84,state,85,33,MGT,THRISSUR,43,91,B+
M,36000,91,state,86,184,MRT,THRISSUR,33,93,B+
F,54000,91,state,86,118,MRT,THRISSUR,45,100,B+
F,562000,76,cbsc,80,162,MRT,THRISSUR,42,89,B+
M,42000,81,state,92,44,MGT,THRISSUR,45,81,B+
F,1000000,88,cbsc,89,196,MRT,THRISSUR,51,87,B+
F,200000,73,cbsc,68,109,NRI,THRISSUR,33,87,B
F,30000,73,state,76,47,MRT,THRISSUR,24,93,C
F,120000,63,icse,85,48,MGT,THRISSUR,41,94,B+
M,700000,72,state,62,101,MGT,THRISSUR,31,100,C
F,150000,89,state,68,109,NRI,THRISSUR,45,92,B+
F,48000,89,state,56,82,MRT,THRISSUR,41,100,B
M,7200,76,state,70,30,MRT,THRISSUR,23,87,C
M,96000,95,state,83,209,MRT,THRISSUR,43,92,B+
M,541140,74,cbsc,89,54,MRT,THRISSUR,56,95,O
M,400000,81,state,70,109,NRI,THRISSUR,49,85,B+
M,52000,69,cbsc,96,45,MGT,THRISSUR,48,92,B+
F,12000,82,state,64,93,MGT,THRISSUR,29,91,C
