Gender,Income,HS_percent,HS_Stream,PCM_markp,Entrance_mark,Quota,Dist,s2c3i,s2c3a,s2c3
M,70000,85,state,60,63,MRT,THRISSUR,26,95,F
M,24000,66,state,81,6,MRT,THRISSUR,13,100,F
F,150000,95,state,65,121,MRT,THRISSUR,38,97,B+
F,36000,65,state,79,60,MGT,THRISSUR,14,96,F
F,42000,83,state,54,81,MGT,THRISSUR,25,100,F
M,205000,83,state,97,148,MRT,PALAKKAD,18,97,B
M,25000,74,state,52,109,NRI,THRISSUR,29,82,B+
M,108000,65,cbsc,80,60,MGT,PALAKKAD,20,94,C
F,24000,89,state,75,79,MRT,THRISSUR,22,100,P
F,500000,52,cbsc,69,109,NRI,KOTTAYAM,12,82,F
M,60000,86,state,58,81,MRT,THRISSUR,36,95,B
F,42000,94,state,90,106,MGT,THRISSUR,32,95,A+
M,250000,65,cbsc,46,122,MGT,THRISSUR,13,88,F
M,86000,62,state,84,109,NRI,THRISSUR,11,100,F
F,525000,91,cbsc,93,193,MRT,THRISSUR,40,83,B+
F,200000,77,state,62,33,MRT,THRISSUR,13,100,F
F,42000,85,state,55,77,MRT,THRISSUR,13,96,F
M,42000,71,cbsc,91,64,MRT,THRISSUR,31,94,B
M,600000,68,cbsc,67,116,MGT,THRISSUR,29,84,C
F,120000,88,state,80,58,MGT,THRISSUR,27,100,C
M,300000,72,state,62,52,MGT,THRISSUR,17,100,F
M,100000,76,state,64,109,NRI,KOZHIKODE,11,100,F
F,210000,77,cbsc,86,256,MGT,THRISSUR,52,81,C
M,504000,70,cbsc,62,86,MGT,THRISSUR,15,95,C
F,120000,89,cbsc,74,162,MRT,THRISSUR,40,87,B+
F,151000,88,state,75,49,MRT,THRISSUR,22,100,B
F,300000,94,state,68,172,MRT,THRISSUR,28,95,A+
M,140000,89,state,86,50,MRT,THRISSUR,26,81,C
M,1080000,65,cbsc,85,47,MRT,THRISSUR,37,81,B+
M,1300000,78,state,93,87,MRT,THRISSUR,19,90,F
M,200000,80,state,87,51,MGT,THRISSUR,15,86,F
M,96000,81,state,57,68,MRT,THRISSUR,18,88,C
M,96000,88,state,74,68,MRT,THRISSUR,20,95,P
F,40000,88,state,77,70,MGT,MALAPPURAM,13,97,P
F,80000,84,state,85,33,MGT,THRISSUR,25,95,B+
M,36000,91,state,86,184,MRT,THRISSUR,18,95,B
F,54000,91,state,86,118,MRT,THRISSUR,20,100,B+
F,562000,76,cbsc,80,162,MRT,THRISSUR,20,95,C
M,42000,81,state,92,44,MGT,THRISSUR,43,92,O
F,1000000,88,cbsc,89,196,MRT,THRISSUR,48,95,O
F,200000,73,cbsc,68,109,NRI,THRISSUR,21,95,C
F,30000,73,state,76,47,MRT,THRISSUR,18,94,P
F,120000,63,icse,85,48,MGT,THRISSUR,13,95,C
M,700000,72,state,62,101,MGT,THRISSUR,11,100,F
F,150000,89,state,68,109,NRI,THRISSUR,27,97,C
F,48000,89,state,56,82,MRT,THRISSUR,16,100,C
M,7200,76,state,70,30,MRT,THRISSUR,16,92,F
M,96000,95,state,83,209,MRT,THRISSUR,34,100,B+
M,541140,74,cbsc,89,54,MRT,THRISSUR,33,95,A+
M,400000,81,state,70,109,NRI,THRISSUR,39,88,B+
M,52000,69,cbsc,96,45,MGT,THRISSUR,46,92,B+
F,12000,82,state,64,93,MGT,THRISSUR,16,94,F
